,fossil fuels: ,nuclear: ,solar: ,wind: ,hydroelectricity: ,tide and wave: ,geothermal: ,biomass and waste: ,GDP per capita ($):,region
Afghanistan,15.9,0.0,5.1,0.0,79.1,0.0,0.0,0.0,1500.0,South Asia
Albania,0.0,0.0,0.6,0.0,99.4,0.0,0.0,0.0,14500.0,Europe
Algeria,98.9,0.0,0.9,0.0,0.1,0.0,0.0,0.0,11000.0,Africa
American Samoa,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11200.0,Australia and Oceania
Angola,28.4,0.0,0.1,0.0,70.1,0.0,0.0,1.4,5900.0,Africa
Antigua and Barbuda,95.4,0.0,4.6,0.0,0.0,0.0,0.0,0.0,19100.0,Central America and the Caribbean
Argentina,65.8,7.3,1.0,6.8,17.6,0.0,0.0,1.5,21500.0,South America
Armenia,40.6,34.8,0.3,0.0,24.3,0.0,0.0,0.0,14200.0,Middle East
Aruba,83.3,0.0,1.2,15.4,0.0,0.0,0.0,0.0,38900.0,Central America and the Caribbean
Australia,75.4,0.0,8.6,8.4,6.2,0.0,0.0,1.4,49800.0,Australia and Oceania
Austria,17.4,0.0,2.8,9.4,62.9,0.0,0.0,7.4,54100.0,Europe
Azerbaijan,94.2,0.0,0.2,0.4,4.4,0.0,0.0,0.8,14400.0,Middle East
"Bahamas, The",99.8,0.0,0.2,0.0,0.0,0.0,0.0,0.0,30200.0,Central America and the Caribbean
Bahrain,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49400.0,Middle East
Bangladesh,98.6,0.0,0.6,0.0,0.8,0.0,0.0,0.0,5900.0,South Asia
Barbados,95.9,0.0,4.1,0.0,0.0,0.0,0.0,0.0,13800.0,Central America and the Caribbean
Belarus,95.8,0.9,0.5,0.5,1.1,0.0,0.0,1.2,19800.0,Europe
Belgium,33.1,38.1,5.8,15.0,0.3,0.0,0.0,7.7,51700.0,Europe
Belize,63.6,0.0,0.2,0.0,13.4,0.0,0.0,22.9,8800.0,Central America and the Caribbean
Benin,96.9,0.0,3.1,0.0,0.0,0.0,0.0,0.0,3300.0,Africa
Bermuda,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80300.0,North America
Bhutan,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,10900.0,South Asia
Bolivia,64.4,0.0,2.6,0.7,30.5,0.0,0.0,1.8,8100.0,South America
Bosnia and Herzegovina,62.8,0.0,0.3,1.5,35.4,0.0,0.0,0.1,15700.0,Europe
Botswana,99.8,0.0,0.2,0.0,0.0,0.0,0.0,0.0,14800.0,Africa
Brazil,11.8,2.3,1.7,9.2,65.8,0.0,0.0,9.2,14600.0,South America
British Virgin Islands,98.8,0.0,0.2,1.0,0.0,0.0,0.0,0.0,34200.0,Central America and the Caribbean
Brunei,100.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,60100.0,East and Southeast Asia
Bulgaria,36.5,44.7,4.0,4.0,9.1,0.0,0.0,1.9,24400.0,Europe
Burkina Faso,89.4,0.0,3.3,0.0,6.9,0.0,0.0,0.4,2200.0,Africa
Burma,52.6,0.0,0.1,0.0,47.3,0.0,0.0,0.0,4000.0,East and Southeast Asia
Burundi,33.3,0.0,2.3,0.0,62.8,0.0,0.0,1.7,700.0,Africa
Cabo Verde,80.2,0.0,2.0,17.8,0.0,0.0,0.0,0.0,6100.0,Africa
Cambodia,52.0,0.0,1.2,0.0,45.6,0.0,0.0,1.2,4400.0,East and Southeast Asia
Cameroon,32.5,0.0,0.2,0.0,67.3,0.0,0.0,0.0,3700.0,Africa
Canada,16.5,14.7,0.7,5.7,60.8,0.0,0.0,1.6,47900.0,North America
Cayman Islands,97.6,0.0,2.4,0.0,0.0,0.0,0.0,0.0,67500.0,Central America and the Caribbean
Central African Republic,0.7,0.0,0.0,0.0,99.3,0.0,0.0,0.0,800.0,Africa
Chad,96.8,0.0,0.0,3.2,0.0,0.0,0.0,0.0,1400.0,Africa
Chile,51.9,0.0,9.5,6.9,26.0,0.0,0.3,5.4,25400.0,South America
China,66.0,4.8,3.5,6.2,17.8,0.0,0.0,1.6,17600.0,East and Southeast Asia
Colombia,32.9,0.0,0.3,0.1,65.7,0.0,0.0,1.0,14600.0,South America
Comoros,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3200.0,Africa
"Congo, Democratic Republic of the",0.1,0.0,0.1,0.0,99.6,0.0,0.0,0.3,1100.0,Africa
"Congo, Republic of the",70.1,0.0,0.0,0.0,29.9,0.0,0.0,0.0,3200.0,Africa
Cook Islands,70.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,16700.0,Australia and Oceania
Costa Rica,0.2,0.0,0.6,12.5,71.1,0.0,14.5,1.2,21200.0,Central America and the Caribbean
Cote d'Ivoire,75.6,0.0,0.2,0.0,24.2,0.0,0.0,0.0,5300.0,Africa
Croatia,41.0,0.0,0.9,16.1,31.8,0.0,0.9,9.3,31600.0,Europe
Cuba,95.5,0.0,1.4,0.1,0.3,0.0,0.0,2.7,12300.0,Central America and the Caribbean
Cyprus,86.8,0.0,6.9,5.1,0.0,0.0,0.0,1.3,41700.0,Europe
Czechia,47.0,37.6,3.0,0.9,4.5,0.0,0.0,7.0,40700.0,Europe
Denmark,14.8,0.0,4.2,57.5,0.1,0.0,0.0,23.5,58000.0,Europe
Djibouti,98.2,0.0,1.8,0.0,0.0,0.0,0.0,0.0,4900.0,Africa
Dominica,74.8,0.0,0.1,0.6,24.5,0.0,0.0,0.0,10900.0,Central America and the Caribbean
Dominican Republic,93.4,0.0,1.5,3.2,0.7,0.0,0.0,1.2,18600.0,Central America and the Caribbean
Ecuador,21.0,0.0,0.1,0.2,77.2,0.0,0.0,1.5,10700.0,South America
Egypt,88.7,0.0,1.0,2.5,7.7,0.0,0.0,0.2,11600.0,Africa
El Salvador,28.2,0.0,7.5,0.0,30.0,0.0,22.2,12.1,9100.0,Central America and the Caribbean
Equatorial Guinea,89.4,0.0,0.0,0.0,10.6,0.0,0.0,0.0,14600.0,Africa
Eritrea,93.8,0.0,5.7,0.5,0.0,0.0,0.0,0.0,1600.0,Africa
Estonia,55.8,0.0,2.0,14.3,0.7,0.0,0.0,27.2,38700.0,Europe
Eswatini,44.1,0.0,0.2,0.0,24.8,0.0,0.0,31.0,8900.0,Africa
Ethiopia,0.0,0.0,0.1,3.8,95.8,0.0,0.0,0.3,2300.0,Africa
Falkland Islands (Islas Malvinas),66.7,0.0,0.0,33.3,0.0,0.0,0.0,0.0,70800.0,South America
Faroe Islands,58.9,0.0,0.0,15.1,26.0,0.0,0.0,0.0,40000.0,Europe
Fiji,41.9,0.0,1.6,0.3,50.2,0.0,0.0,6.0,10400.0,Australia and Oceania
Finland,13.4,33.4,0.4,11.9,23.2,0.0,0.0,17.8,48800.0,Europe
France,8.0,68.4,2.5,7.3,11.7,0.2,0.0,2.0,45000.0,Europe
French Polynesia,66.5,0.0,6.1,0.0,27.4,0.0,0.0,0.0,17000.0,Australia and Oceania
Gabon,40.6,0.0,0.1,0.0,59.0,0.0,0.0,0.3,13800.0,Africa
"Gambia, The",98.9,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2100.0,Africa
Gaza Strip,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5600.0,Middle East
Georgia,25.3,0.0,0.0,0.8,73.9,0.0,0.0,0.0,15500.0,Middle East
Germany,40.5,11.1,9.2,23.9,4.5,0.2,0.0,10.4,53200.0,Europe
Ghana,63.8,0.0,0.3,0.0,35.9,0.0,0.0,0.1,5400.0,Africa
Gibraltar,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61700.0,Europe
Greece,56.5,0.0,10.7,23.0,8.5,0.0,0.0,1.4,29500.0,Europe
Greenland,15.8,0.0,0.0,0.0,84.2,0.0,0.0,0.0,41800.0,North America
Grenada,98.3,0.0,1.6,0.1,0.0,0.0,0.0,0.0,13700.0,Central America and the Caribbean
Guam,96.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,35600.0,Australia and Oceania
Guatemala,39.4,0.0,1.5,2.1,38.0,0.0,2.2,17.0,8900.0,Central America and the Caribbean
Guinea,22.2,0.0,0.7,0.0,77.1,0.0,0.0,0.0,2600.0,Africa
Guinea-Bissau,97.6,0.0,2.4,0.0,0.0,0.0,0.0,0.0,1800.0,Africa
Guyana,97.4,0.0,1.6,0.0,0.0,0.0,0.0,0.9,21900.0,South America
Haiti,85.8,0.0,0.3,0.0,13.9,0.0,0.0,0.0,2900.0,Central America and the Caribbean
Honduras,46.7,0.0,10.3,7.5,24.7,0.0,2.7,8.1,5600.0,Central America and the Caribbean
Hong Kong,99.6,0.0,0.0,0.0,0.0,0.0,0.0,0.4,60000.0,East and Southeast Asia
Hungary,36.1,46.0,7.4,2.0,0.7,0.5,0.1,7.3,33600.0,Europe
Iceland,0.0,0.0,0.0,0.0,67.6,0.0,32.3,0.0,53600.0,Europe
India,75.5,2.8,4.2,4.6,10.7,0.0,0.0,2.3,6600.0,South Asia
Indonesia,82.3,0.0,0.0,0.2,6.8,0.0,5.7,5.0,11900.0,East and Southeast Asia
Iran,88.7,1.9,0.1,0.2,9.1,0.0,0.0,0.0,15000.0,Middle East
Iraq,97.8,0.0,0.1,0.0,2.1,0.0,0.0,0.0,9000.0,Middle East
Ireland,57.8,0.0,0.2,34.8,3.7,0.0,0.0,3.6,102500.0,Europe
Israel,93.7,0.0,5.9,0.3,0.0,0.0,0.0,0.0,42100.0,Middle East
Italy,55.9,0.0,9.2,6.9,17.5,0.2,2.2,8.1,41900.0,Europe
Jamaica,87.5,0.0,1.2,6.8,4.0,0.0,0.0,0.6,9600.0,Central America and the Caribbean
Japan,73.5,4.8,8.8,1.0,10.0,0.0,0.3,1.6,40800.0,East and Southeast Asia
Jordan,83.5,0.0,11.7,4.6,0.2,0.0,0.0,0.0,9200.0,Middle East
Kazakhstan,88.2,0.0,0.9,0.7,10.1,0.0,0.0,0.0,26100.0,Central Asia
Kenya,8.3,0.0,1.0,10.7,32.6,0.0,46.2,1.2,4700.0,Africa
Kiribati,84.9,0.0,15.1,0.0,0.0,0.0,0.0,0.0,1900.0,Australia and Oceania
"Korea, North",15.8,0.0,0.1,0.0,84.1,0.0,0.0,0.0,1700.0,East and Southeast Asia
"Korea, South",64.8,27.7,3.3,0.6,1.3,0.7,0.0,1.7,44200.0,East and Southeast Asia
Kosovo,95.6,0.0,0.1,1.1,3.2,0.0,0.0,0.0,11900.0,Europe
Kuwait,99.9,0.0,0.0,0.1,0.0,0.0,0.0,0.0,43900.0,Middle East
Kyrgyzstan,8.5,0.0,0.0,0.0,91.5,0.0,0.0,0.0,4800.0,Central Asia
Laos,35.6,0.0,0.1,0.0,64.1,0.0,0.0,0.2,7800.0,East and Southeast Asia
Latvia,33.4,0.0,0.1,3.2,47.5,0.0,0.0,15.9,32100.0,Europe
Lebanon,94.3,0.0,0.5,0.0,5.0,0.0,0.0,0.2,13000.0,Middle East
Lesotho,0.0,0.0,0.2,0.0,99.8,0.0,0.0,0.0,2300.0,Africa
Liberia,40.5,0.0,0.5,0.0,59.1,0.0,0.0,0.0,1400.0,Africa
Libya,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22000.0,Africa
Lithuania,38.0,0.0,3.0,35.5,6.9,0.0,0.0,16.7,39300.0,Europe
Luxembourg,13.8,0.0,14.6,27.7,7.5,0.0,0.0,36.4,115700.0,Europe
Macau,66.4,0.0,0.0,0.0,0.0,0.0,0.0,33.6,64800.0,East and Southeast Asia
Madagascar,59.8,0.0,1.1,0.0,38.2,0.0,0.0,1.0,1500.0,Africa
Malawi,11.8,0.0,3.2,0.0,81.9,0.0,0.0,3.2,1500.0,Africa
Malaysia,87.5,0.0,0.7,0.0,10.9,0.0,0.0,1.0,26300.0,East and Southeast Asia
Maldives,99.6,0.0,0.0,0.4,0.0,0.0,0.0,0.0,18800.0,South Asia
Mali,67.4,0.0,1.0,0.0,29.7,0.0,0.0,1.9,2100.0,Africa
Malta,88.5,0.0,11.2,0.0,0.0,0.0,0.0,0.3,44700.0,Europe
Mauritania,73.2,0.0,8.1,6.8,11.9,0.0,0.0,0.0,5300.0,Africa
Mauritius,75.4,0.0,5.3,0.7,3.7,0.0,0.0,15.0,21000.0,Africa
Mexico,75.7,3.6,4.4,6.5,7.6,0.0,1.5,0.8,19100.0,North America
Moldova,93.6,0.0,0.1,1.2,4.5,0.0,0.0,0.6,14000.0,Europe
Mongolia,89.2,0.0,1.3,8.1,1.3,0.0,0.0,0.0,11700.0,East and Southeast Asia
Montenegro,42.3,0.0,0.0,10.5,47.2,0.0,0.0,0.0,20600.0,Europe
Montserrat,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34000.0,Central America and the Caribbean
Morocco,81.6,0.0,1.1,13.0,4.4,0.0,0.0,0.0,8100.0,Africa
Mozambique,19.6,0.0,0.2,0.0,79.6,0.0,0.0,0.6,1200.0,Africa
Namibia,6.1,0.0,4.7,0.5,88.8,0.0,0.0,0.0,9100.0,Africa
Nauru,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11900.0,Australia and Oceania
Nepal,0.0,0.0,2.6,0.2,97.2,0.0,0.0,0.0,3800.0,South Asia
Netherlands,68.3,3.3,6.8,13.1,0.0,0.0,0.0,8.5,56600.0,Europe
New Caledonia,91.2,0.0,0.0,1.5,7.4,0.0,0.0,0.0,31100.0,Australia and Oceania
New Zealand,19.5,0.0,0.4,5.3,54.8,0.1,18.6,1.4,42900.0,Australia and Oceania
Nicaragua,37.8,0.0,0.5,15.7,12.2,0.0,16.7,17.2,5600.0,Central America and the Caribbean
Niger,94.1,0.0,5.9,0.0,0.0,0.0,0.0,0.0,1200.0,Africa
Nigeria,78.1,0.0,0.2,0.0,21.7,0.0,0.0,0.1,4900.0,Africa
Niue,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5800.0,Australia and Oceania
North Macedonia,71.4,0.0,0.5,2.3,24.7,0.0,0.0,1.1,16500.0,Europe
Norway,1.2,0.0,0.0,6.4,92.1,0.0,0.0,0.3,65700.0,Europe
Oman,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34300.0,Middle East
Pakistan,55.2,8.2,1.0,2.8,31.9,0.0,0.0,0.8,5200.0,South Asia
Panama,24.5,0.0,2.7,6.4,66.2,0.0,0.0,0.2,29000.0,Central America and the Caribbean
Papua New Guinea,80.2,0.0,0.0,0.0,18.9,0.0,0.0,1.0,3700.0,East and Southeast Asia
Paraguay,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,13700.0,South America
Peru,38.5,0.0,1.5,3.5,55.4,0.0,0.0,1.1,12500.0,South America
Philippines,77.6,0.0,1.3,1.1,8.0,0.0,11.0,1.1,8100.0,East and Southeast Asia
Poland,79.8,0.0,1.4,10.8,2.0,0.0,0.0,6.0,34900.0,Europe
Portugal,39.0,0.0,3.2,23.3,26.5,0.0,0.4,7.7,33700.0,Europe
Puerto Rico,94.8,0.0,1.4,3.4,0.3,0.0,0.0,0.1,32600.0,Central America and the Caribbean
Qatar,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92900.0,Middle East
Romania,32.1,20.4,3.4,13.4,29.9,0.0,0.0,0.9,30800.0,Europe
Russia,59.4,21.0,0.2,0.0,19.1,0.0,0.0,0.3,28000.0,Central Asia
Rwanda,39.0,0.0,6.5,0.0,53.9,0.0,0.0,0.6,2200.0,Africa
"Saint Helena, Ascension, and Tristan da Cunha",100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7800.0,Africa
Saint Kitts and Nevis,96.3,0.0,0.0,3.7,0.0,0.0,0.0,0.0,26500.0,Central America and the Caribbean
Saint Lucia,99.1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,13000.0,Central America and the Caribbean
Saint Pierre and Miquelon,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46200.0,North America
Saint Vincent and the Grenadines,73.5,0.0,0.7,0.0,25.8,0.0,0.0,0.0,13700.0,Central America and the Caribbean
Samoa,72.7,0.0,0.0,0.1,27.2,0.0,0.0,0.0,5500.0,Australia and Oceania
Sao Tome and Principe,89.5,0.0,0.0,0.0,10.5,0.0,0.0,0.0,4100.0,Africa
Saudi Arabia,99.9,0.0,0.2,0.0,0.0,0.0,0.0,0.0,44300.0,Middle East
Senegal,84.8,0.0,6.0,0.5,6.3,0.0,0.0,2.4,3500.0,Africa
Serbia,69.2,0.0,0.0,2.9,27.3,0.0,0.0,0.5,19800.0,Europe
Seychelles,99.1,0.0,0.9,0.0,0.0,0.0,0.0,0.0,28800.0,Africa
Sierra Leone,8.2,0.0,2.9,0.0,87.0,0.0,0.0,1.9,1600.0,Africa
Singapore,96.5,0.0,1.2,0.0,0.0,0.0,0.0,2.3,106000.0,East and Southeast Asia
Slovakia,19.7,55.4,2.4,0.0,16.8,0.2,0.0,5.6,31900.0,Europe
Slovenia,27.2,36.8,2.2,0.0,32.0,0.0,0.0,1.7,40000.0,Europe
Solomon Islands,94.8,0.0,2.7,0.0,0.0,0.0,0.0,2.6,2400.0,Australia and Oceania
Somalia,95.3,0.0,3.0,1.7,0.0,0.0,0.0,0.0,1100.0,Africa
South Africa,87.9,5.2,1.6,2.6,2.5,0.0,0.0,0.2,13300.0,Africa
South Sudan,99.2,0.0,0.8,0.0,0.0,0.0,0.0,0.0,1600.0,Africa
Spain,32.4,21.9,8.1,22.1,13.1,0.0,0.0,2.6,37900.0,Europe
Sri Lanka,64.0,0.0,0.7,2.3,32.2,0.0,0.0,0.8,13400.0,South Asia
Sudan,43.5,0.0,0.1,0.0,55.5,0.0,0.0,0.9,3700.0,Africa
Suriname,40.5,0.0,0.4,0.0,58.8,0.0,0.0,0.3,14800.0,South America
Sweden,1.0,29.5,0.7,17.2,44.7,0.0,0.0,6.9,53600.0,Europe
Switzerland,0.8,34.2,3.8,0.2,56.3,0.0,0.0,4.7,71000.0,Europe
Syria,95.1,0.0,0.0,0.0,4.8,0.0,0.0,0.2,2900.0,Middle East
Taiwan,82.2,11.2,2.2,0.9,2.2,0.0,0.0,1.3,24502.0,East and Southeast Asia
Tajikistan,8.7,0.0,0.0,0.0,91.3,0.0,0.0,0.0,3900.0,Central Asia
Tanzania,65.0,0.0,1.3,0.0,32.8,0.0,0.0,1.0,2600.0,Africa
Thailand,83.3,0.0,2.8,1.7,2.6,0.0,0.0,9.6,17100.0,East and Southeast Asia
Timor-Leste,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000.0,East and Southeast Asia
Togo,82.2,0.0,0.6,0.0,17.2,0.0,0.0,0.0,2100.0,Africa
Tonga,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6100.0,Australia and Oceania
Trinidad and Tobago,99.9,0.0,0.1,0.0,0.0,0.0,0.0,0.0,23000.0,Central America and the Caribbean
Tunisia,95.9,0.0,1.3,2.6,0.3,0.0,0.0,0.0,10400.0,Africa
Turkey (Turkiye),56.2,0.0,3.8,8.4,26.3,0.4,3.4,1.5,31500.0,Middle East
Turkmenistan,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15000.0,Central Asia
Turks and Caicos Islands,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18500.0,Central America and the Caribbean
Uganda,1.3,0.0,1.6,0.0,86.4,0.0,0.0,10.8,2200.0,Africa
Ukraine,37.6,55.9,1.2,1.4,3.6,0.0,0.0,0.3,12900.0,Europe
United Arab Emirates,95.7,1.3,3.0,0.0,0.0,0.0,0.0,0.0,69700.0,Middle East
United Kingdom,37.8,15.2,4.3,25.2,2.6,0.0,0.0,15.0,45000.0,Europe
United States,59.9,19.5,3.2,8.3,7.0,0.0,0.4,1.7,63700.0,North America
Uruguay,2.0,0.0,3.6,42.2,30.6,0.0,0.0,21.6,22800.0,South America
Uzbekistan,88.1,0.0,0.0,0.0,11.9,0.0,0.0,0.0,7700.0,Central Asia
Vanuatu,84.5,0.0,8.2,7.4,0.0,0.0,0.0,0.0,2800.0,Australia and Oceania
Venezuela,30.5,0.0,0.0,0.1,69.4,0.0,0.0,0.0,7704.0,South America
Vietnam,70.7,0.0,2.4,0.4,25.2,0.0,0.0,1.4,10600.0,East and Southeast Asia
Virgin Islands,98.9,0.0,1.1,0.0,0.0,0.0,0.0,0.0,37000.0,Central America and the Caribbean
West Bank,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5600.0,Middle East
World,60.6,10.3,3.3,6.2,17.0,0.0,0.4,2.4,,
Yemen,84.6,0.0,15.4,0.0,0.0,0.0,0.0,0.0,2500.0,Middle East
Zambia,13.0,0.0,0.9,0.0,85.5,0.0,0.0,0.5,3200.0,Africa
Zimbabwe,32.9,0.0,0.1,0.0,65.3,0.0,0.0,1.7,2100.0,Africa
